date,playerId,country,gameId,Cash turnover,Bonus turnover,Cash winnings,Bonus winnings,Turnover,Winnings,Cash result,Bonus result,Gross result
2017-04-07,50,SE,2555,3.6,0.0,0.0,0.0,3.6,0.0,3.6,0.0,3.6
2017-04-07,50,SE,2321,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.23
2017-04-07,50,SE,1463,2.0,0.0,4.0,0.0,2.0,4.0,-2.0,0.0,-2.0
2017-04-07,50,SE,403,0.0,0.0,5.63,0.0,0.0,5.63,-5.63,0.0,-5.63
2017-04-07,49,SE,2555,2.4,0.0,0.2,0.0,2.4,0.2,2.2,0.0,2.2
2017-04-07,49,SE,1463,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
2017-04-07,48,SE,2555,4.8,0.0,0.2,0.0,4.8,0.2,4.6,0.0,4.6
2017-04-07,48,SE,2321,1.05,0.0,0.0,0.0,1.05,0.0,1.05,0.0,1.05
2017-04-07,48,SE,1463,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
2017-04-07,47,SE,2555,4.8,0.0,2.44,0.0,4.8,2.44,2.36,0.0,2.36
2017-04-07,47,SE,2321,0.82,0.0,0.0,0.0,0.82,0.0,0.82,0.0,0.82
2017-04-07,47,SE,1463,3.0,0.0,4.0,0.0,3.0,4.0,-1.0,0.0,-1.0
2017-04-07,46,SE,2555,2.4,0.0,2.16,0.0,2.4,2.16,0.24,0.0,0.24
2017-04-07,46,SE,1463,7.0,0.0,8.0,0.0,7.0,8.0,-1.0,0.0,-1.0
2017-04-07,46,SE,403,0.0,0.0,5.63,0.0,0.0,5.63,-5.63,0.0,-5.63
2017-04-07,45,SE,2555,0.0,0.0,0.6,0.0,0.0,0.6,-0.6,0.0,-0.6
2017-04-07,45,SE,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,45,SE,1463,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2017-04-07,44,SE,2555,1.2,0.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0
2017-04-07,44,SE,1463,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
2017-04-07,43,SE,2555,4.8,0.0,1.2,0.0,4.8,1.2,3.6,0.0,3.6
2017-04-07,43,SE,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,43,SE,1463,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
2017-04-07,42,SE,2555,3.6,0.0,0.0,0.0,3.6,0.0,3.6,0.0,3.6
2017-04-07,42,SE,1463,12.0,0.0,18.0,0.0,12.0,18.0,-6.0,0.0,-6.0
2017-04-07,41,SE,2555,1.2,0.0,10.88,0.0,1.2,10.88,-9.68,0.0,-9.68
2017-04-07,41,SE,2321,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.23
2017-04-07,41,SE,1463,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
2017-04-07,40,FI,2555,3.6,0.0,0.0,0.0,3.6,0.0,3.6,0.0,3.6
2017-04-07,40,FI,2321,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.58
2017-04-07,40,FI,1463,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2017-04-07,39,NO,2555,3.6,0.0,0.0,0.0,3.6,0.0,3.6,0.0,3.6
2017-04-07,39,NO,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,39,NO,1463,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0
2017-04-07,39,NO,403,0.0,0.0,15.01,0.0,0.0,15.01,-15.01,0.0,-15.01
2017-04-07,38,SE,2555,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,1.2
2017-04-07,38,SE,2321,0.82,0.0,0.0,0.0,0.82,0.0,0.82,0.0,0.82
2017-04-07,38,SE,1463,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2017-04-07,37,FI,2555,4.8,0.0,3.4,0.0,4.8,3.4,1.4,0.0,1.4
2017-04-07,37,FI,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,37,FI,1463,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0
2017-04-07,36,GB,2555,2.4,0.0,0.6,0.0,2.4,0.6,1.8,0.0,1.8
2017-04-07,36,GB,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,36,GB,1463,2.0,0.0,6.0,0.0,2.0,6.0,-4.0,0.0,-4.0
2017-04-07,36,GB,403,2.19,0.0,0.0,0.0,2.19,0.0,2.19,0.0,2.19
2017-04-07,35,SE,2555,3.6,0.0,10.0,0.0,3.6,10.0,-6.4,0.0,-6.4
2017-04-07,35,SE,2321,0.58,0.0,0.06,0.0,0.58,0.06,0.53,0.0,0.53
2017-04-07,35,SE,1463,9.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0
2017-04-07,34,SE,2555,6.0,0.0,1.0,0.0,6.0,1.0,5.0,0.0,5.0
2017-04-07,34,SE,2321,0.47,0.0,0.06,0.0,0.47,0.06,0.41,0.0,0.41
2017-04-07,34,SE,1463,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2017-04-07,33,SE,2555,2.4,0.0,0.0,0.0,2.4,0.0,2.4,0.0,2.4
2017-04-07,33,SE,1463,12.0,0.0,32.0,0.0,12.0,32.0,-20.0,0.0,-20.0
2017-04-07,32,SE,2555,1.2,0.0,1.0,0.0,1.2,1.0,0.2,0.0,0.2
2017-04-07,32,SE,2321,0.82,0.0,0.0,0.0,0.82,0.0,0.82,0.0,0.82
2017-04-07,32,SE,1463,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0
2017-04-07,31,FI,2555,6.0,0.0,2.56,0.0,6.0,2.56,3.44,0.0,3.44
2017-04-07,31,FI,2321,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.58
2017-04-07,31,FI,1463,11.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0
2017-04-07,31,FI,403,1.25,0.0,0.0,0.0,1.25,0.0,1.25,0.0,1.25
2017-04-07,30,SE,2555,4.8,0.0,0.0,0.0,4.8,0.0,4.8,0.0,4.8
2017-04-07,30,SE,2321,0.23,0.0,0.18,0.0,0.23,0.18,0.06,0.0,0.06
2017-04-07,30,SE,1463,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
2017-04-07,29,SE,2555,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
2017-04-07,29,SE,2321,1.4,0.0,0.12,0.0,1.4,0.12,1.29,0.0,1.29
2017-04-07,29,SE,1463,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2017-04-07,28,SE,2555,2.4,0.0,0.28,0.0,2.4,0.28,2.12,0.0,2.12
2017-04-07,28,SE,1463,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
2017-04-07,27,SE,2555,4.8,0.0,0.0,0.0,4.8,0.0,4.8,0.0,4.8
2017-04-07,27,SE,1463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,26,GB,2555,4.8,0.0,0.0,0.0,4.8,0.0,4.8,0.0,4.8
2017-04-07,26,GB,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,26,GB,1463,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2017-04-07,25,SE,2555,4.8,0.0,2.6,0.0,4.8,2.6,2.2,0.0,2.2
